Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  Davos
Altitude [m asl]:         1594 m
Coordinates:              46° 48.8' N / 9° 50.6' E

Reference date of homogenization:
         Temperature:     01.12.2009
         Precipitation:   01.12.2007

Last inhomogeneity provisionally corrected:
         Temperature:     yes
         Precipitation:   no

Units:
         Temperature:     °C
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            7.12.2015


Year  Month        Temperature      Precipitation  
1896     12               -5.3               30.3  
1897      1               -6.6               23.6  
1897      2               -2.3              110.6  
1897      3               -1.0               80.0  
1897      4                1.9               36.8  
1897      5                4.2               85.0  
1897      6               10.3              127.6  
1897      7               10.9              134.0  
1897      8               10.6              121.8  
1897      9                6.4              114.0  
1897     10                2.5                5.6  
1897     11               -0.3               13.7  
1897     12               -6.4               28.4  
1898      1               -3.5                9.9  
1898      2               -5.6              160.9  
1898      3               -2.2               64.0  
1898      4                1.9               47.1  
1898      5                4.9               84.2  
1898      6                8.0              190.0  
1898      7                9.2              108.8  
1898      8               11.4              129.2  
1898      9                8.6                7.8  
1898     10                5.1               89.6  
1898     11                1.6               65.5  
1898     12               -5.8               35.6  
1899      1               -4.9              206.3  
1899      2               -3.9                3.4  
1899      3               -2.4               40.8  
1899      4                0.8              133.2  
1899      5                4.5              100.2  
1899      6                8.7               53.4  
1899      7               10.2               77.7  
1899      8               10.8               84.7  
1899      9                6.2              146.2  
1899     10                4.7               20.3  
1899     11                0.1                3.1  
1899     12               -6.2               57.0  
1900      1               -4.9               81.1  
1900      2               -2.4               65.9  
1900      3               -5.3               32.0  
1900      4                0.4               47.4  
1900      5                5.4               95.7  
1900      6                9.9               53.7  
1900      7               11.9              120.1  
1900      8                9.3              202.7  
1900      9                9.6               41.8  
1900     10                4.1               30.9  
1900     11                0.0               51.4  
1900     12               -3.7               62.6  
1901      1               -7.5               62.5  
1901      2              -10.7               22.1  
1901      3               -3.6               98.8  
1901      4                1.8              108.2  
1901      5                6.0               58.1  
1901      6                9.6              198.7  
1901      7               10.6              172.9  
1901      8               10.4              182.0  
1901      9                8.4              115.9  
1901     10                3.7               65.5  
1901     11               -3.0               23.4  
1901     12               -4.3               54.6  
1902      1               -5.7               79.0  
1902      2               -3.8               16.2  
1902      3               -3.0              116.8  
1902      4                3.4               26.2  
1902      5                1.6               76.3  
1902      6                8.0               77.6  
1902      7               11.6               79.4  
1902      8               10.0               99.0  
1902      9                7.6               78.1  
1902     10                2.8               52.1  
1902     11               -1.2                5.1  
1902     12               -5.4              125.2  
1903      1               -6.8               42.0  
1903      2               -3.6               42.1  
1903      3               -1.6               33.7  
1903      4               -1.9               76.3  
1903      5                5.7               52.8  
1903      6                8.4               87.8  
1903      7                9.5              141.0  
1903      8               10.5              125.5  
1903      9                7.5               32.6  
1903     10                3.6               64.7  
1903     11               -2.3               94.3  
1903     12               -6.7               19.2  
1904      1               -6.8               11.6  
1904      2               -4.7               87.0  
1904      3               -2.3               44.5  
1904      4                2.8               67.0  
1904      5                7.2              148.8  
1904      6               10.5              104.5  
1904      7               12.6               96.4  
1904      8               10.9              101.6  
1904      9                6.0               93.6  
1904     10                3.6               39.0  
1904     11               -2.4               52.9  
1904     12               -5.1               51.0  
1905      1               -9.3               86.6  
1905      2               -6.6               37.9  
1905      3               -1.8               58.2  
1905      4                1.0               85.8  
1905      5                5.3               95.7  
1905      6                9.9               88.0  
1905      7               13.1              107.0  
1905      8               10.3              235.0  
1905      9                8.5               80.3  
1905     10               -2.1               51.6  
1905     11               -2.3               78.3  
1905     12               -5.8               21.0  
1906      1               -7.1               59.6  
1906      2               -7.3               52.8  
1906      3               -3.8               61.2  
1906      4                0.6               41.0  
1906      5                5.8              102.2  
1906      6                8.1               83.3  
1906      7               10.9              134.6  
1906      8               11.0               74.3  
1906      9                6.3               95.3  
1906     10                5.2               16.0  
1906     11               -0.4               83.0  
1906     12               -8.7               69.6  
1907      1               -6.9               84.6  
1907      2               -8.2               29.4  
1907      3               -4.8              127.8  
1907      4               -0.7               83.7  
1907      5                6.4               63.0  
1907      6                9.0              142.9  
1907      7                8.8              135.8  
1907      8               10.9              118.2  
1907      9                8.5               50.3  
1907     10                5.6               78.8  
1907     11               -0.4               20.3  
1907     12               -3.8               72.1  
1908      1               -6.5               27.2  
1908      2               -5.6              128.1  
1908      3               -4.5               41.4  
1908      4               -0.9               58.3  
1908      5                7.6               89.6  
1908      6               10.9               89.8  
1908      7               10.2              187.1  
1908      8                8.7              185.4  
1908      9                6.8               86.1  
1908     10                4.6               12.9  
1908     11               -2.3               58.7  
1908     12               -6.5               25.1  
1909      1               -8.5               24.0  
1909      2               -9.1               56.4  
1909      3               -4.2               32.9  
1909      4                2.9               52.8  
1909      5                5.4               56.8  
1909      6                7.6              138.6  
1909      7                9.0              155.0  
1909      8               10.1              145.8  
1909      9                6.7               70.0  
1909     10                4.9               55.9  
1909     11               -3.7               59.8  
1909     12               -3.0               58.6  
1910      1               -5.6              150.2  
1910      2               -5.0               49.6  
1910      3               -2.5               15.1  
1910      4                1.0               69.2  
1910      5                4.0               74.6  
1910      6                9.4              209.0  
1910      7                8.7              139.1  
1910      8                9.7              159.0  
1910      9                5.3               95.2  
1910     10                4.8               36.0  
1910     11               -3.1               98.6  
1910     12               -2.6               61.8  
1911      1               -9.0                8.2  
1911      2               -6.0               74.3  
1911      3               -2.6               48.8  
1911      4                0.5               61.9  
1911      5                5.9               44.3  
1911      6                8.5              152.8  
1911      7               13.2               49.7  
1911      8               12.5              108.5  
1911      9                8.4              117.1  
1911     10                3.6               89.2  
1911     11               -0.1               60.0  
1911     12               -3.0              130.1  
1912      1               -4.3               65.3  
1912      2               -1.7               28.1  
1912      3               -0.6               84.6  
1912      4               -0.1               38.5  
1912      5                6.0              162.8  
1912      6                9.4              119.4  
1912      7               10.2              147.1  
1912      8                7.3              211.8  
1912      9                2.8               50.7  
1912     10                2.5              113.9  
1912     11               -4.9               50.8  
1912     12               -3.5               29.0  
1913      1               -4.5               72.9  
1913      2               -6.1               15.8  
1913      3                0.0               34.7  
1913      4                1.1               47.8  
1913      5                5.6               82.7  
1913      6                8.6              129.2  
1913      7                7.5              159.7  
1913      8                9.1              124.1  
1913      9                7.3               72.3  
1913     10                5.3               64.1  
1913     11                0.6              144.6  
1913     12               -5.7               71.0  
1914      1               -9.7              137.1  
1914      2               -2.3               28.5  
1914      3               -1.6              110.2  
1914      4                2.8               40.3  
1914      5                4.5               86.9  
1914      6                7.5               85.7  
1914      7                9.2              165.4  
1914      8               10.8              143.5  
1914      9                6.9               72.2  
1914     10                3.2               75.4  
1914     11               -2.6               42.9  
1914     12               -3.4               22.2  
1915      1               -7.1              103.4  
1915      2               -5.4               41.7  
1915      3               -3.1               83.9  
1915      4                0.6               36.1  
1915      5                8.7               89.8  
1915      6               10.9               88.2  
1915      7               10.3              196.8  
1915      8                9.0               74.3  
1915      9                6.2              109.7  
1915     10                1.1                5.5  
1915     11               -4.2               47.1  
1915     12               -1.3               53.2  
1916      1               -4.6              119.2  
1916      2               -4.5              108.4  
1916      3               -1.1               69.7  
1916      4                1.8               59.0  
1916      5                6.7               44.0  
1916      6                7.1              217.2  
1916      7               10.1              121.0  
1916      8                9.8              138.3  
1916      9                5.5               86.9  
1916     10                2.7              105.8  
1916     11               -1.7               85.6  
1916     12               -3.9              117.1  
1917      1               -8.6               70.8  
1917      2               -7.4                7.8  
1917      3               -3.8               23.1  
1917      4               -2.0               83.5  
1917      5                8.5               62.1  
1917      6               11.1               73.9  
1917      7               11.0              133.2  
1917      8               10.1              198.4  
1917      9                9.7               47.4  
1917     10                0.6              141.2  
1917     11               -3.2               43.1  
1917     12               -8.7               32.7  
1918      1               -5.5               32.6  
1918      2               -5.3               36.4  
1918      3               -2.1               37.0  
1918      4                2.5               52.6  
1918      5                7.5               18.6  
1918      6                6.7              120.4  
1918      7               10.6               81.7  
1918      8                9.8              112.7  
1918      9                8.3              132.9  
1918     10                2.3               50.6  
1918     11               -1.2               24.1  
1918     12               -3.4              231.8  
1919      1               -6.9               42.4  
1919      2               -6.6               41.3  
1919      3               -2.6               32.1  
1919      4               -0.8               93.3  
1919      5                4.3               62.6  
1919      6                8.9              127.8  
1919      7                7.8              141.4  
1919      8               12.0               66.8  
1919      9                9.1               58.7  
1919     10               -0.5               47.2  
1919     11               -4.1              115.6  
1919     12               -5.5              158.8  
1920      1               -3.6              133.9  
1920      2               -4.2               27.5  
1920      3               -0.6               49.2  
1920      4                2.1               66.4  
1920      5                8.7              104.4  
1920      6                9.0               77.2  
1920      7               10.7              215.1  
1920      8                8.7               84.4  
1920      9                7.7              208.1  
1920     10                4.4                2.3  
1920     11                0.0                0.4  
1920     12               -5.1               27.9  
1921      1               -3.1              109.8  
1921      2               -6.3                7.4  
1921      3               -1.2               17.5  
1921      4                0.5               63.4  
1921      5                7.7               81.9  
1921      6                8.7              141.3  
1921      7               12.6               45.7  
1921      8               10.7               95.7  
1921      9                9.3               73.3  
1921     10                5.5               44.7  
1921     11               -3.6               62.6  
1921     12               -4.1               29.7  
1922      1               -7.3              160.2  
1922      2               -5.0               61.5  
1922      3               -1.2               51.7  
1922      4                0.2               70.9  
1922      5                7.1               61.9  
1922      6                9.5              123.9  
1922      7                9.3              195.1  
1922      8               10.5              106.4  
1922      9                5.2              132.3  
1922     10                2.6               65.6  
1922     11               -4.4              101.2  
1922     12               -6.2               98.2  
1923      1               -7.1               54.4  
1923      2               -3.3               63.2  
1923      3               -2.1               13.1  
1923      4                1.4               55.1  
1923      5                6.4               74.1  
1923      6                5.4               90.2  
1923      7               12.9               78.5  
1923      8               11.6               98.2  
1923      9                6.7               92.2  
1923     10                4.9               89.4  
1923     11               -1.0               54.9  
1923     12               -6.1              183.3  
1924      1               -7.7               26.9  
1924      2               -8.2               51.3  
1924      3               -2.8                7.4  
1924      4                1.6               62.2  
1924      5                7.2               85.8  
1924      6                8.6              183.8  
1924      7               10.8              168.1  
1924      8                7.6              160.9  
1924      9                7.7               95.7  
1924     10                3.8               31.6  
1924     11               -0.3                5.4  
1924     12               -4.4               25.4  
1925      1               -4.1               18.9  
1925      2               -4.0               56.2  
1925      3               -4.9               30.5  
1925      4                1.6               52.8  
1925      5                6.5               36.4  
1925      6               10.0               51.7  
1925      7               10.2              132.1  
1925      8                9.7              219.3  
1925      9                5.2               67.7  
1925     10                3.8               30.4  
1925     11               -2.4               39.2  
1925     12               -6.4               90.8  
1926      1               -5.8               38.3  
1926      2               -0.5               46.1  
1926      3               -1.3              114.9  
1926      4                2.6               66.1  
1926      5                4.3              147.3  
1926      6                6.1              217.3  
1926      7                9.5              170.2  
1926      8               10.7               58.1  
1926      9                9.5               25.8  
1926     10                3.5               98.0  
1926     11                1.8               72.7  
1926     12               -6.0               65.4  
1927      1               -5.8               86.4  
1927      2               -5.7               37.0  
1927      3               -1.8               68.7  
1927      4                1.4               78.5  
1927      5                6.8               53.5  
1927      6                9.3              116.8  
1927      7               10.7              162.0  
1927      8               10.1              158.1  
1927      9                7.5              173.7  
1927     10                3.3               22.4  
1927     11                0.1               79.4  
1927     12               -3.7               30.3  
1928      1               -5.1               46.2  
1928      2               -4.2               97.3  
1928      3               -0.8               19.1  
1928      4                2.0               80.8  
1928      5                3.8               98.8  
1928      6                9.4               86.2  
1928      7               13.8               99.0  
1928      8               11.5              216.3  
1928      9                7.7               62.1  
1928     10                3.8              145.6  
1928     11               -0.4              131.1  
1928     12               -7.0               54.5  
1929      1              -10.4               30.7  
1929      2              -10.6               10.4  
1929      3               -2.2               15.9  
1929      4               -0.4               46.5  
1929      5                6.8               46.0  
1929      6                9.9              102.5  
1929      7               11.9              107.5  
1929      8               10.5              193.3  
1929      9                9.8               40.9  
1929     10                4.1               53.9  
1929     11               -0.5               30.1  
1929     12               -3.4               90.6  
1930      1               -3.6               20.9  
1930      2               -6.4                1.1  
1930      3               -0.5               41.1  
1930      4                2.5               43.5  
1930      5                5.1              107.1  
1930      6               11.7               84.8  
1930      7               10.0              146.7  
1930      8               10.1              188.2  
1930      9                8.1              129.4  
1930     10                2.9               82.5  
1930     11                0.7               40.1  
1930     12               -5.2               38.9  
1931      1               -8.1              108.4  
1931      2               -7.4               68.7  
1931      3               -3.4               58.7  
1931      4                0.3               37.8  
1931      5                7.9               85.1  
1931      6               11.5              111.3  
1931      7               10.6              204.5  
1931      8                9.1              221.0  
1931      9                3.8               98.0  
1931     10                3.0               40.3  
1931     11                0.7               20.9  
1931     12               -7.1               44.1  
1932      1               -5.2               88.7  
1932      2              -10.6                3.8  
1932      3               -3.5               54.1  
1932      4                0.1               67.4  
1932      5                4.9              109.9  
1932      6                8.3               68.9  
1932      7               10.7              185.1  
1932      8               12.7               79.2  
1932      9               11.1               59.0  
1932     10                3.0               93.4  
1932     11               -0.4               44.3  
1932     12               -3.3                2.2  
1933      1               -8.1               34.1  
1933      2               -5.7               48.0  
1933      3               -1.3               52.8  
1933      4                1.9               41.0  
1933      5                4.1              140.8  
1933      6                6.7              135.0  
1933      7               11.8              158.4  
