"year","yearlyMean","ecart"
1915,5.52361111111111,-1.56833333333333
1916,5.825,-1.26694444444444
1917,4.94166666666667,-2.15027777777778
1918,5.95625,-1.13569444444444
1919,5.21805555555556,-1.87388888888889
1920,6.65,-0.441944444444444
1921,6.83194444444444,-0.26
1922,5.33541666666667,-1.75652777777778
1923,6.13611111111111,-0.955833333333334
1924,5.67361111111111,-1.41833333333333
1925,5.75694444444444,-1.335
1926,6.47291666666667,-0.619027777777778
1927,6.21041666666667,-0.881527777777777
1928,6.64375,-0.448194444444445
1929,5.82777777777778,-1.26416666666667
1930,6.55138888888889,-0.540555555555556
1931,5.38888888888889,-1.70305555555556
1932,5.85416666666667,-1.23777777777778
1933,5.55416666666667,-1.53777777777778
1934,6.66736111111111,-0.424583333333334
1935,5.83611111111111,-1.25583333333333
1936,6.14930555555556,-0.942638888888889
1937,6.35763888888889,-0.734305555555555
1938,6.08541666666667,-1.00652777777778
1939,5.74861111111111,-1.34333333333333
1940,5.16805555555556,-1.92388888888889
1941,5.30625,-1.78569444444444
1942,5.98055555555556,-1.11138888888889
1943,6.94722222222222,-0.144722222222223
1944,5.74722222222222,-1.34472222222222
1945,6.64097222222222,-0.450972222222222
1946,6.42638888888889,-0.665555555555556
1947,7.29027777777778,0.198333333333333
1948,6.87083333333333,-0.221111111111111
1949,7.11597222222222,0.0240277777777775
1950,6.7375,-0.354444444444445
1951,6.44583333333333,-0.646111111111112
1952,6.2375,-0.854444444444445
1953,6.48680555555556,-0.605138888888889
1954,5.77847222222222,-1.31347222222222
1955,5.98819444444444,-1.10375
1956,4.86041666666667,-2.23152777777778
1957,6.36111111111111,-0.730833333333334
1958,6.30763888888889,-0.784305555555556
1959,6.97638888888889,-0.115555555555556
1960,6.19236111111111,-0.899583333333333
1961,7.14583333333333,0.0538888888888884
1962,5.45694444444444,-1.635
1963,5.33611111111111,-1.75583333333333
1964,6.49652777777778,-0.595416666666667
1965,5.45555555555556,-1.63638888888889
1966,6.40555555555556,-0.686388888888889
1967,6.41597222222222,-0.675972222222223
1968,6.05,-1.04194444444444
1969,5.77777777777778,-1.31416666666667
1970,5.82569444444444,-1.26625
1971,6.26319444444444,-0.82875
1972,5.96666666666667,-1.12527777777778
1973,5.93541666666667,-1.15652777777778
1974,6.34027777777778,-0.751666666666667
1975,6.38333333333333,-0.708611111111111
1976,6.3625,-0.729444444444445
1977,6.42777777777778,-0.664166666666667
1978,5.76527777777778,-1.32666666666667
1979,6.15,-0.941944444444444
1980,5.56388888888889,-1.52805555555556
1981,6.21597222222222,-0.875972222222223
1982,6.97986111111111,-0.112083333333334
1983,6.92430555555556,-0.167638888888889
1984,5.97708333333333,-1.11486111111111
1985,5.98333333333333,-1.10861111111111
1986,6.37638888888889,-0.715555555555556
1987,6.35763888888889,-0.734305555555555
1988,7.09791666666667,0.00597222222222182
1989,7.39791666666667,0.305972222222222
1990,7.37916666666667,0.287222222222222
1991,6.71527777777778,-0.376666666666667
1992,7.31527777777778,0.223333333333333
1993,6.92152777777778,-0.170416666666667
1994,8.14583333333333,1.05388888888889
1995,7.03611111111111,-0.0558333333333332
1996,6.44861111111111,-0.643333333333334
1997,7.50416666666667,0.412222222222222
1998,7.13263888888889,0.0406944444444441
1999,7.13194444444444,0.04
2000,7.73888888888889,0.646944444444444
2001,7.23541666666667,0.143472222222222
2002,7.81736111111111,0.725416666666667
2003,7.95277777777778,0.860833333333333
2004,7.17569444444444,0.0837500000000002
2005,6.78472222222222,-0.307222222222222
2006,7.64444444444444,0.5525
2007,7.81527777777778,0.723333333333334
2008,7.38055555555556,0.288611111111111
2009,7.60347222222222,0.511527777777777
2010,6.56875,-0.523194444444445
2011,8.30486111111111,1.21291666666667
2012,7.60763888888889,0.515694444444445
2013,7.075,-0.0169444444444444
2014,8.33819444444444,1.24625
2015,8.37847222222222,1.28652777777778
